Title,Country,Year,Genre,Director,Starring,Poster URL
Ambitious Kung Fu Girl,Hong Kong,1981,"martial arts, comedy",Tony Liu Chun-Ku ,"Michelle Yim, Yuen Tak, Chen Kuan-Tai, Lam Sau-Kwan, Choh Seung-Wan, Wong Mei-Mei, Chu Tit-Wo, Austin Wai Tin-Chi, Ching Miao ",https://en.hkcinema.ru/foto/f910b138.jpg
Bandits from Shantung,Hong Kong,1972,martial arts,Wong Fung ,"Chang Yu, Woo Gam, Pai Ying, Sammo Hung Kam-Bo, Chin Yuet-Sang, Tin Mat, Yee Yuen, Chow Kong, Wilson Tong Wai-Shing, Cham Siu-Hung ",https://en.hkcinema.ru/foto/458aeae0.jpg
The 72 Desperate Rebels,Taiwan,1978,martial arts,Lin Bing ,"Pai Ying, Chan Sing, Barry Chan, Chung Wah, Lung Fei, Miao Tian, Hsieh Han, Tsai Hung, Yu Chung-Chiu, Siu Gam, Yeung Sau-Guen ",https://en.hkcinema.ru/foto/90ce25d6.jpg
8 Avatar,Hong Kong,2009,"science fiction, romance, comedy, martial arts",Kwong Yip-Sheng ,"Roger Kwok Chun-On, Ho Chung-Wa, Jia Qing, Akina Hong Wah, Hugo Ng Doi-Yung, Sonija Kwok Sin-Nae, Nikita Mao, Shao Chuan-Yong, David Chen Da-Wei ",https://en.hkcinema.ru/foto/sp_53879e7ddd892.jpg
The Crimson Palm,Hong Kong,1964,martial arts,Chen Yu-Hsin ,"Ivy Ling Po, Chin Ping, Li Ching, Ching Miao, Tang Ti, Yiu Kwang-Chao, Chiang Kuang-Chao, Tien Feng, Chen Yan-Yan, Yip Ching ",https://en.hkcinema.ru/foto/36e7224c.jpg
Angel the Kickboxer,Hong Kong,1993,martial arts,Godfrey Ho Jeung-Keung ,"Waise Lee Chi-Hung, Pauline Chan Bo-Lin, Oshima Yukari, Karel Wong Chi-Yeung, Wong Wan-Choi, Lam Chung, Robert Mak Tak-Law, Chiang Tao ",https://en.hkcinema.ru/foto/bf2c356e.jpg
Bandits of Shandong Province,Hong Kong,1955,"martial arts, musical",Wong Hok-Sing ,"Sun-Ma Sze-Tsang, Lam Kau, Lee Pang-Fei, Lee Hoi-Chuen, Mui Yee, Choi Zhen-Chu, Pak Lung-Chu, Ho Siu-Hung ",https://en.hkcinema.ru/foto/e385d34c.jpg
18 Shaolin Golden Boys,Hong Kong,1996,martial arts,Do Wai-Daat ,"Yu Rong-Guang, Willie Chi Tin-Sang, Cherie Chan Siu-Ha, Shing Fui-On, Billy Chow Bei-Lei, William Ho Ka-Kui, Chung Gwok-Lung, Lee Chi-Chung ",https://en.hkcinema.ru/foto/913c3a87.jpg
Abbot of Shaolin,Hong Kong,1979,martial arts,Ho Meng-Hua ,"David Chiang Da-Wei, Lily Li Li-Li, Lo Lieh, Norman Chu Siu-Keung, Bruce Tong Yim-Chaan, Wang Han-Chen, Wong Kung-Miu, Wong Chi-Ming ",https://en.hkcinema.ru/foto/72785b43.jpg
The Dragon and the Tiger Kids,Hong Kong,1979,martial arts,"Tony Liu Chun-Ku, Tony Wong Yuk-Long ","Meng Yuen-Man, Mang Hoi, Hwang Jang-Lee, Jason Pai Piao, Lau Hok-Nin, Yip Fei-Yang, Kwan Yung-Moon, Wang Han-Chen, Hsu Hsia, Tai San ",https://en.hkcinema.ru/foto/61038230.jpg
