title,country,poster,release_year,genre,director,starring
The Three Swordsmen,Hong Kong,https://en.hkcinema.ru/foto/832aeddf.jpg,1967,martial arts,Ling Yun ,"Connie Chan Po-Chu, Josephine Siao Fong-Fong, Tam Sin-Hung, Walter Tso Tat-Wah, Yu So-Chau, Ko Lo-Chuen, Ng Yan-Chi, Ling Mung "
The Three Swordsmen,China,https://en.hkcinema.ru/foto/59fbde71af76f.jpg,2017,"martial arts, historical, drama",Yan Huai-Kang ,"Feng Man, Li Jun-Hao, Sindy Wang Shen-Di, Xiang Jin, Chen Mei-Lin, Jiang Hao, Jacob Liu Yu-Tong, Wu Feng-Lin, Zhou Shi-Qi "
The Three Swordsmen 2,China,https://en.hkcinema.ru/foto/5a066c6914e3c.jpg,2017,"martial arts, drama",Yan Huai-Kang ,"Feng Man, Li Jun-Hao, Xiang Jin, Chen Mei-Lin, Jiang Hao, Zhou Shi-Qi, Pan Mei-Ye, Sindy Wang Shen-Di, Wang Zhao-Xiang, Jacob Liu Yu-Tong "
The Three Swordsmen 3,China,https://en.hkcinema.ru/foto/5a0e5033d5726.jpg,2017,"martial arts, fantasy",Yan Huai-Kang ,"Feng Man, Li Jun-Hao, Xiang Jin, Jacob Liu Yu-Tong, Jiang Hao, Chen Mei-Lin, Sindy Wang Shen-Di, Wu Feng-Lin, Zhou Shi-Qi "
3 Swordsmen from Emei,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Lee Fa ,"Lee Ching, Pearl Au Ka-Wai, Kong Hon, Sheung-Kwun Kwan-Wai, Sek Kin, Yeung Yip-Wang, Ho King-Fan, Lau Hak-Suen, Chan Wai-Yue "
Three Swordsmen from Kunlun,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1951,"martial arts, fantasy",Wong Tin-Lam ,"Walter Tso Tat-Wah, Yam Yin, Sek Yin-Tsi, Law Yim-Hing "
Three Swordsmen and the Dragon Door,Taiwan,https://en.hkcinema.ru/foto/41ce73b1.jpg,1968,martial arts,Li Kuan-Chang ,"Chiang Ming, Li Hsuan, Yueh Yang, O Chun-Hung, Lui Ming, Chow Ming, Got Siu-Bo, Fai Wan, Wu Min-Hsiung, Yen Chung, Feng Chun-Ping "
San Shao Ye De Jian,China,https://en.hkcinema.ru/foto/5c6009025a9ee.jpg,2001,"martial arts, historical, romance",Gan Tak-Mau ,"Ho Chung-Wa, Faye Yu Fei-Hong, Wang Qiang-You, Chen Ji-Ming, Zhang Yi-Han, Huo Siyan, Johnny Chen Long, Liu Li-Li, Yang Ruo-Xi "
Three Shaolin Musketeers,Taiwan,https://en.hkcinema.ru/foto/561a0277573fb.jpg,1978,martial arts,"Ulysses Au-Yeung Jun, Chan Jun-Leung ","Mang Fei, Lo Lieh, Leung Kar-Yan, Woo Gam, Doris Lung Chun-Erh, Liu Ping, Li Min-Lang, Shih Ting-Ken, Elsa Yeung Wai-San, David Tao Da-Wei "
Three Girl Musketeers,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Wong Tin-Lam ,"Yu So-Chau, Ying Lai-Ming, Lam Kau, Lam Mui-Mui, Tai Hau-Ho, Chao Fei-Fei, Cheung Sang, Go Chiu, Wu Tin "
Fang Shiyu's Three Attacks on Emperor Qianlong,Hong Kong,https://en.hkcinema.ru/foto/ccf8c262.jpg,1958,martial arts,Fung Chi-Kong ,"Sek Yin-Tsi, Law Yim-Hing, Sek Kin, Lam Kau, Lau Hak-Suen, Lo Hoi-Tin, Hui Ying-Sau, Chan Yiu-Lam, Go Chiu, Cheung Sang, Hsiao Yen, Lee Keng-Ching "
"Three Sieges of Zhu Village, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/39c31c55.jpg,1951,martial arts,Law Chi-Hung ,"Ng Cho-Fan, Chow Kwun-Ling, Wong Chiu-Miu, Law Yim-Hing, Fung Ming, Wong Kung-Miu, Wong Cho-San, Go Chiu, Kwan Hok-Ling, Keung Chung-Ping "
"Three Sieges of Zhu Village, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1951,martial arts,Law Chi-Hung ,"Ng Cho-Fan, Chow Kwun-Ling, Wong Chiu-Miu, Lam Kau, Law Yim-Hing, Ng Wui, Wong Kung-Miu, Wong Cho-San, Keung Chung-Ping, Lai Ming, Lam Wah "
